acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,pixel_resolution,provider,published,publishing_stage,quality_category,satellite_azimuth,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent,id,site
2021-11-23T18:13:02.336321Z,0.0,96,100,0.0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-10-29T07:31:35Z,finalized,standard,184.1,225a,0,0,5123463,153.0,27.8,2022-10-29T07:31:35Z,0.2,74,100,20180725_182337_1008,scott_creek
2021-11-13T18:02:15.83145Z,0.0,95,100,0.0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2022-10-28T23:46:06Z,finalized,standard,103.0,2453,0,0,5093036,149.9,29.2,2022-10-28T23:46:06Z,2.1,68,100,20180727_213248_0f02,scott_creek
2021-11-21T18:18:15.751286Z,0.0,96,100,0.0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-10-28T01:31:42Z,finalized,standard,277.8,2251,0,0,5117263,153.6,28.4,2022-10-28T01:31:42Z,4.9,76,100,20180804_182041_0e19,scott_creek
2022-10-27T18:15:51.886789Z,0.0,96,100,0.0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2022-10-28T00:34:54Z,finalized,standard,277.5,225a,0,0,6037579,150.3,34.9,2022-10-28T07:05:38Z,5.0,70,100,20180805_181752_1049,scott_creek
2021-11-14T18:51:53.804262Z,0.0,94,100,0.0,0,True,4.2,0,PSB.SD,PSScene,0,3,planetscope,2022-10-27T11:45:55Z,finalized,standard,277.9,2424,0,0,5096226,162.2,32.6,2022-10-27T11:45:55Z,5.0,62,100,20180805_182348_1006,scott_creek
2022-02-13T18:48:16.651691Z,0.0,96,94,0.06,6,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2022-10-26T07:57:37Z,finalized,standard,103.7,2403,0,0,5390386,151.7,35.3,2022-10-26T07:57:37Z,1.9,74,94,20180808_182352_1005,scott_creek
2022-02-18T18:30:59.885943Z,0.0,95,99,0.0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-10-26T05:28:09Z,finalized,standard,102.9,2470,1,0,5408162,146.3,35.0,2022-10-26T05:28:09Z,2.0,70,100,20180813_181703_0f4d,scott_creek
2022-10-25T17:58:43.725825Z,0.0,96,97,0.02,2,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2022-10-25T22:39:13Z,finalized,standard,277.6,2429,1,0,6032410,145.4,33.6,2022-10-26T07:58:57Z,5.0,80,98,20180815_182404_1014,scott_creek
2022-10-25T17:53:30.190594Z,0.0,90,86,0.14,14,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2022-10-25T22:28:16Z,finalized,standard,102.0,2455,0,0,6032365,144.6,33.4,2022-10-26T08:01:00Z,3.0,78,86,20180816_182442_100e,scott_creek
2022-02-25T17:57:49.228769Z,0.0,96,100,0.0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2022-10-25T04:29:37Z,finalized,standard,103.2,241b,0,0,5432593,136.6,33.3,2022-10-25T04:29:37Z,3.2,72,100,20180817_181611_0f2b,scott_creek
2022-01-21T18:15:54.902974Z,0.0,84,98,0.0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2022-10-25T03:47:08Z,finalized,standard,277.7,2262,2,0,5309211,146.8,25.9,2022-10-25T03:47:08Z,5.1,68,100,20180830_212917_0f06,scott_creek
